ano,NomeVendedor,ValorLiquido
2024,Lucas Cardoso,433551.24
2024,Bruno Rodrigues,360344.4
2024,Thiago Nascimento,312581.82
2024,Ricardo Almeida,276159.42
2024,Letícia Moreira,263827.25
2024,Larissa Barbosa,236800.45
2024,Gabriela Rocha,236069.86
2024,Carlos Souza,220379.24
2024,Mateus Carvalho,219178.37
2024,Maria Santos,167484.66
2024,Mariana Dias,157164.24
2024,Tatiana Lopes,132089.68
2024,Felipe Araújo,115805.33
2024,Pedro Costa,85320.05
2024,Camila Martins,79112.17
2024,Juliana Ferreira,76962.33
2024,Gustavo Ribeiro,75842.75
2024,Leandro Pinto,73798.05
2024,Rafael Pereira,67117.84
2024,Priscila Campos,62384.2
2024,Beatriz Gomes,55219.53
2024,Vanessa Correia,54860.03
2024,João Silva,42685.07
2025,Lucas Cardoso,628677.02
2025,Thiago Nascimento,566327.91
2025,Bruno Rodrigues,560015.62
2025,Gabriela Rocha,522656.03
2025,Larissa Barbosa,473376.26
2025,Ricardo Almeida,460315.2
2025,Mateus Carvalho,380619.51
2025,Carlos Souza,375827.12
2025,Maria Santos,310326.17
2025,Mariana Dias,305096.48
2025,Letícia Moreira,255782.91999999998
2025,Leandro Pinto,242893.51
2025,Vanessa Correia,202479.31
2025,Beatriz Gomes,192672.59
2025,João Silva,180973.77
2025,Priscila Campos,179307.3
2025,Rafael Pereira,176113.39
2025,Juliana Ferreira,155129.61000000002
2025,Gustavo Ribeiro,151277.8
2025,Pedro Costa,141493.91
2025,Camila Martins,139808.79
2025,Felipe Araújo,127442.47
2025,Tatiana Lopes,117367.12999999999
